Transaction ID,Sender Account ID,Receiver Account ID,Transaction Amount,Transaction Type,Date,Time,Transaction Status,Fraud Flag,Geolocation (Latitude/Longitude),Device Used,Network Slice ID,Latency (ms),Slice Bandwidth (Mbps),PIN Code,State
TXN2967565010,ACC52765,ACC17647,59568,Withdrawal,1/1/2022,0.44375,Failed,FALSE,"40.7128 N, 0.1278 W",Desktop,Slice1,56,90,5636,Indiana
TXN6124814564,ACC89865,ACC69190,71054,Transfer,1/1/2022,0.446527778,Failed,TRUE,"55.7558 N, -74.006 W",Mobile,Slice1,59,66,7177,Mississippi
TXN8506838667,ACC27786,ACC77787,15743,Deposit,1/1/2022,10:17:00 AM,Failed,FALSE,"34.0522 N, 2.3522 W",Desktop,Slice3,50,153,6889,California
TXN4416733764,ACC25311,ACC52411,35872,Deposit,1/2/2022,0.451388889,Failed,TRUE,"48.8566 N, -74.006 W",Desktop,Slice2,71,153,6988,New York
TXN3265508267,ACC88851,ACC92572,102716,Withdrawal,1/2/2022,0.427777778,Failed,TRUE,"40.7128 N, 37.6173 W",Mobile,Slice1,91,243,2228,Wisconsin
TXN9960780796,ACC16531,ACC41695,38264,Withdrawal,1/2/2022,10:44:00 AM,Failed,FALSE,"48.8566 N, 2.3522 W",Mobile,Slice1,83,159,1419,Arizona
TXN1804188246,ACC70325,ACC90820,29300,Deposit,1/3/2022,0.454861111,Failed,FALSE,"51.5074 N, 2.3522 W",Mobile,Slice2,63,210,8025,Indiana
TXN9520068950,ACC14994,ACC16656,45901,Deposit,1/3/2022,10:14:00 AM,Failed,TRUE,"34.0522 N, -74.006 W",Desktop,Slice1,50,179,3075,Delaware
TXN7571871959,ACC76210,ACC79065,30846,Withdrawal,1/3/2022,10:57:00 AM,Failed,FALSE,"35.6895 N, 0.1278 W",Mobile,Slice3,100,92,2865,West Virginia
TXN4719214031,ACC90519,ACC47130,82323,Deposit,1/4/2022,0.429861111,Failed,FALSE,"51.5074 N, 2.3522 W",Mobile,Slice3,79,110,2790,Wisconsin
TXN9412011085,ACC58958,ACC32826,29990,Deposit,1/4/2022,10:51:00 AM,Success,TRUE,"35.6895 N, -118.2437 W",Mobile,Slice1,52,89,2369,Florida
TXN3155052574,ACC68069,ACC89196,42834,Withdrawal,1/4/2022,10:40:00 AM,Success,TRUE,"34.0522 N, 139.6917 W",Mobile,Slice1,78,78,9008,Florida
TXN3921821159,ACC26387,ACC28310,52311,Withdrawal,1/5/2022,0.43125,Success,FALSE,"51.5074 N, 0.1278 W",Desktop,Slice1,67,231,3755,Florida
TXN4407425052,ACC56321,ACC92481,144870,Withdrawal,1/5/2022,10:50:00 AM,Success,TRUE,"48.8566 N, 2.3522 W",Mobile,Slice3,71,53,8039,New York
TXN2224269988,ACC77747,ACC10943,65136,Withdrawal,1/5/2022,10:18:00 AM,Success,TRUE,"34.0522 N, 0.1278 W",Desktop,Slice1,91,160,4396,Hawaii
TXN8145013884,ACC16684,ACC65897,138481,Deposit,1/6/2022,0.443055556,Success,TRUE,"51.5074 N, 139.6917 W",Mobile,Slice2,60,212,7028,North Carolina
TXN2214150284,ACC48650,ACC76457,102675,Deposit,1/6/2022,10:56:00 AM,Success,TRUE,"34.0522 N, -74.006 W",Mobile,Slice2,66,127,6374,California
TXN1285498928,ACC57627,ACC98533,84467,Deposit,1/6/2022,10:38:00 AM,Success,TRUE,"51.5074 N, -74.006 W",Desktop,Slice2,91,81,8985,Virginia
TXN8482029253,ACC98343,ACC94038,10578,Deposit,1/7/2022,0.454861111,Success,FALSE,"34.0522 N, 139.6917 W",Desktop,Slice1,69,198,2812,Hawaii
TXN4247571145,ACC60921,ACC11419,149200,Deposit,1/7/2022,10:25:00 AM,Success,TRUE,"55.7558 N, 37.6173 W",Mobile,Slice2,53,191,8375,South Dakota
TXN2274786678,ACC67196,ACC34138,118543,Transfer,1/7/2022,10:11:00 AM,Success,FALSE,"51.5074 N, 37.6173 W",Mobile,Slice1,63,200,1582,Arizona
TXN8297322746,ACC95784,ACC52100,143464,Deposit,1/8/2022,0.45625,Success,FALSE,"34.0522 N, 37.6173 W",Mobile,Slice3,53,65,4476,Wisconsin
TXN2515439857,ACC18381,ACC76710,147430,Deposit,1/8/2022,10:01:00 AM,Success,TRUE,"35.6895 N, 139.6917 W",Mobile,Slice2,67,191,4779,North Carolina
TXN8890390631,ACC99054,ACC97489,148011,Deposit,1/8/2022,10:31:00 AM,Success,FALSE,"34.0522 N, -74.006 W",Mobile,Slice2,62,73,9403,Alabama
TXN3424483698,ACC27892,ACC99186,81875,Transfer,1/9/2022,0.420833333,Success,TRUE,"55.7558 N, 0.1278 W",Mobile,Slice1,98,113,2825,Alabama
TXN2169752734,ACC43792,ACC51105,127945,Withdrawal,1/9/2022,10:25:00 AM,Success,TRUE,"55.7558 N, 2.3522 W",Desktop,Slice2,68,216,4347,Virginia
TXN3188124963,ACC17123,ACC17598,1317,Deposit,1/9/2022,10:24:00 AM,Success,TRUE,"55.7558 N, 2.3522 W",Desktop,Slice3,66,144,6232,Utah
TXN1968611398,ACC86893,ACC47672,58803,Deposit,1/10/2022,0.417361111,Success,TRUE,"40.7128 N, 0.1278 W",Mobile,Slice1,100,194,2399,Georgia
TXN3109277527,ACC48227,ACC93536,139191,Transfer,1/10/2022,10:56:00 AM,Success,TRUE,"48.8566 N, -118.2437 W",Mobile,Slice1,100,69,8607,Iowa
TXN7939723282,ACC80544,ACC14023,18866,Deposit,1/10/2022,10:24:00 AM,Success,FALSE,"35.6895 N, 37.6173 W",Desktop,Slice1,95,181,2040,Missouri
